10ID,Angle of View,Aperture,Audio Capability,Audio Compression,Auto-Iris,BIMobject category,BIMobject category code,BIMobject main category,BIMobject main category code,Brand url,C RD Back,C RD Bottom,C RD Front,C RD Left,C RD Right,C RD Top,C Rotation,C Tilt,Design country,Edition number,Field of View,Field of View Horizontal,Field of View Vertical,Finish,Focal Length,Frames per Second,Height,IFC Classification,IR Illumination,Length 1 D,Length 1 L,Length 1 R,Length 1 U,Length 2 D,Length 2 U,Lens,Manufacturer country,Manufacturer name,Masterformat 2014 Code,Masterformat 2014 Description,Min. Illumination,Multiple Streams,Nominal height,Nominal width,OmniClass Code,OmniClass Description,OmniClass 標題,OmniClass 編號,ONVIF,Operating Temperature,Power Consumption,Power Source,Product data url,Product family,Product group,Product Guid,Product SKU,Product url,QR code,RD Back,RD Bottom,RD Front,RD Left,RD Right,RD Top,Region Africa,Region Antarctica,Region Asia,Region Europe,Region Middle East,Region North America,Region Oceania,Region South America,Rotation Desired,Sensor Type,Technical description,Tilt Desired,Uniclass 1.4 Code,Uniclass 1.4 Description,Uniclass 2.0 Code,Uniclass 2.0 Description,Uniclass 2015 Code,Uniclass 2015 Name,Uniformat II Code,Uniformat II Description,UNSPSC Code,URL,Video Compression,Video Resolution,WDR Technology,Weight,Weight Net (Kg),Width,品類,描述,數量,族群,族群與類型,樓層,標註,模型,組合代碼,組合描述,製造商,類型,類型標記
318576,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chairs,23.40.20.14.14.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,家具,,1,M_椅-行政,M_椅-行政: M_椅-行政,FL1,,,,,,M_椅-行政,
318651,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chairs,23.40.20.14.14.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,家具,,1,M_椅-行政,M_椅-行政: M_椅-行政,FL1,,,,,,M_椅-行政,
318720,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chairs,23.40.20.14.14.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,家具,,1,M_椅-行政,M_椅-行政: M_椅-行政,FL1,,,,,,M_椅-行政,
318787,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chairs,23.40.20.14.14.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,家具,,1,M_椅-行政,M_椅-行政: M_椅-行政,FL1,,,,,,M_椅-行政,
318836,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chairs,23.40.20.14.14.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,家具,,1,M_椅-行政,M_椅-行政: M_椅-行政,FL1,,,,,,M_椅-行政,
318895,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chairs,23.40.20.14.14.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,家具,,1,M_椅-行政,M_椅-行政: M_椅-行政,FL1,,,,,,M_椅-行政,
318994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chairs,23.40.20.14.14.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,家具,,1,M_椅-行政,M_椅-行政: M_椅-行政,FL1,,,,,,M_椅-行政,
319085,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chairs,23.40.20.14.14.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,家具,,1,M_椅-行政,M_椅-行政: M_椅-行政,FL1,,,,,,M_椅-行政,
319154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chairs,23.40.20.14.14.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,家具,,1,M_椅-行政,M_椅-行政: M_椅-行政,FL1,,,,,,M_椅-行政,
319227,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chairs,23.40.20.14.14.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,家具,,1,M_椅-行政,M_椅-行政: M_椅-行政,FL1,,,,,,M_椅-行政,
